,prep,prep_pp,pp,defart_pp,htah,adj,verb,at_user,geotag
0,0,0,3,0,0,0,1,0,NewYork
1,0,0,0,0,0,2,0,1,NewYork
2,0,0,3,0,0,2,0,3,NewYork
3,0,0,1,0,0,1,0,1,NewYork
4,0,0,4,0,0,0,0,0,NewYork
5,3,1,2,0,0,0,1,1,NewYork
6,0,0,1,0,0,0,1,1,NewYork
7,2,0,5,1,1,2,3,1,NewYork
8,0,0,1,0,0,0,0,1,NewYork
9,0,0,5,0,0,0,2,0,NewYork
10,0,0,1,0,0,0,0,1,NewYork
11,0,0,1,0,0,0,0,1,NewYork
12,1,0,3,0,0,3,2,0,NewYork
13,0,0,5,0,1,0,3,3,NewYork
14,0,0,7,0,0,0,4,0,NewYork
15,0,0,1,0,0,1,2,0,NewYork
16,2,1,7,0,0,2,3,0,NewYork
17,1,1,6,0,0,1,2,0,NewYork
18,0,0,1,0,0,0,0,1,NewYork
19,0,0,2,1,0,0,0,1,NewYork
20,1,0,2,0,0,0,2,0,NewYork
21,0,0,5,0,0,2,0,2,NewYork
22,1,0,3,0,0,0,1,0,NewYork
23,0,0,2,0,0,0,0,1,NewYork
24,0,0,1,0,0,0,1,1,NewYork
25,0,0,4,0,0,2,3,0,NewYork
26,1,0,2,0,0,2,5,2,NewYork
27,1,1,12,0,0,0,2,0,NewYork
28,1,0,6,1,0,3,3,0,NewYork
29,2,1,7,0,0,2,2,2,NewYork
30,0,0,3,0,0,0,1,2,NewYork
31,0,0,1,0,0,0,0,1,NewYork
32,1,0,1,0,0,0,1,1,NewYork
33,0,0,1,0,0,0,1,1,NewYork
34,2,0,4,0,0,2,4,1,California
35,0,0,8,1,0,1,5,0,California
36,0,0,5,0,0,2,4,1,California
37,3,2,6,0,0,1,6,0,California
38,0,0,2,0,0,0,0,1,California
39,1,0,3,0,0,2,6,2,California
40,0,0,2,0,0,1,1,1,California
41,0,0,1,0,0,0,1,1,California
42,3,1,6,0,1,1,4,0,California
43,1,0,1,1,0,0,3,1,California
44,3,0,2,0,0,1,4,0,California
45,0,0,5,0,1,2,2,0,California
46,1,1,6,0,0,3,1,2,California
47,0,0,1,1,0,0,1,0,California
48,1,1,4,0,0,1,6,1,California
49,0,0,1,0,0,0,1,1,California
50,0,0,3,0,0,1,0,2,California
51,1,0,4,1,1,3,6,0,California
52,2,0,7,1,0,0,6,1,California
53,3,0,6,2,1,0,2,0,California
54,1,0,4,0,0,0,3,2,California
55,0,0,1,0,1,0,0,10,California
56,0,0,3,0,0,5,4,1,California
57,2,0,3,0,0,0,1,0,California
58,3,1,5,0,0,0,4,1,California
59,3,1,10,0,0,2,2,2,California
60,1,0,5,0,0,5,3,0,California
61,0,0,2,0,1,0,1,1,California
62,1,0,2,0,1,0,2,5,California
63,1,0,3,1,0,2,1,0,California
64,0,0,5,0,0,1,2,0,California
65,1,0,9,0,0,1,2,2,California
66,0,0,3,0,0,2,5,1,California
67,1,0,6,0,0,2,2,2,California
68,0,0,2,0,0,0,3,0,California
69,1,0,3,0,0,3,2,0,California
70,0,0,4,0,0,3,2,1,California
71,1,0,1,0,0,0,2,0,California
72,1,0,4,0,0,3,1,1,California
73,1,0,7,2,0,1,3,1,California
74,0,0,3,0,1,0,1,1,California
75,2,1,9,0,0,0,3,2,California
76,0,0,1,0,0,0,0,1,California
77,1,0,4,0,0,0,2,1,California
78,1,0,4,1,0,3,4,0,California
79,2,0,1,0,0,2,1,1,California
80,1,0,4,1,0,1,1,1,California
81,2,0,5,0,0,0,3,1,California
82,0,0,7,1,0,1,4,1,California
83,1,1,4,0,0,1,1,1,California
84,3,0,6,0,0,1,8,1,California
85,4,1,3,0,0,3,4,1,California
86,1,0,3,0,1,0,1,0,California
87,0,0,5,0,0,3,4,1,California
88,3,0,6,0,3,0,4,0,California
89,1,0,4,0,1,3,0,1,California
90,1,0,1,0,0,0,0,1,California
91,0,0,1,0,0,1,1,1,California
92,1,0,0,0,0,0,0,1,California
93,2,0,8,1,0,2,2,1,California
94,2,0,3,0,0,0,2,0,California
95,0,0,0,0,0,0,0,1,California
96,1,0,5,0,0,0,3,0,California
97,0,0,3,0,0,3,2,0,California
98,0,0,4,0,1,0,3,0,California
99,1,1,3,0,0,0,1,1,California
100,0,0,4,0,0,2,6,1,California
101,0,0,2,0,0,1,1,1,California
102,3,0,6,1,0,1,7,1,California
103,0,0,2,0,0,0,2,0,California
104,1,0,2,0,0,0,1,1,California
105,2,0,3,1,0,0,3,0,California
106,0,0,2,0,0,1,2,1,California
107,0,0,1,0,0,1,0,1,California
108,1,0,3,0,0,1,0,1,California
109,0,0,0,0,0,0,0,1,California
110,0,0,1,0,0,0,1,1,California
